DayType,Hour,Global_active_power
Weekday,0,0.5685633365981064
Weekday,1,0.46777084557623244
Weekday,2,0.4352558481202762
Weekday,3,0.41162520404831865
Weekday,4,0.42572460290252545
Weekday,5,0.4306448366013072
Weekday,6,0.8752434516903871
Weekday,7,1.7150326500612494
Weekday,8,1.5799321956397485
Weekday,9,1.3671529734406374
Weekday,10,1.2173506468051745
Weekday,11,1.160441862745098
Weekday,12,1.1088809624865323
Weekday,13,1.01065636069802
Weekday,14,0.9100838690728715
Weekday,15,0.8420917727717924
Weekday,16,0.8031611681548834
Weekday,17,0.8861530700537117
Weekday,18,1.1427739649993471
Weekday,19,1.6093927099118475
Weekday,20,1.8408187574263066
Weekday,21,1.8559034215075507
Weekday,22,1.3714021496256912
Weekday,23,0.8111529680365297
Weekend,0,0.8891708142462135
Weekend,1,0.7206079404466501
Weekend,2,0.5955501240694789
Weekend,3,0.5291244620986428
Weekend,4,0.4899876974231089
Weekend,5,0.5122502909393184
Weekend,6,0.5788433083956774
Weekend,7,0.9607507377696497
Weekend,8,1.1583646716541978
Weekend,9,1.2412283327098141
Weekend,10,1.3709162504162504
Weekend,11,1.4631067864271459
Weekend,12,1.4570925641132217
Weekend,13,1.485095137245131
Weekend,14,1.5218082010033582
Weekend,15,1.368380628576167
Weekend,16,1.3197342581824223
Weekend,17,1.4848705618537434
Weekend,18,1.7934855340168527
Weekend,19,2.0480289603243556
Weekend,20,2.047067333939945
Weekend,21,1.9328941390277148
Weekend,22,1.516858415841584
Weekend,23,1.1323158415841583
